junction,section,chainage_m,uncertainty_m,method,group_n,new_invert_m
J_2955,Africa Avenue A_LHS,3.5,1.6,LABEL_CLUSTER_CENTROID,1,220.522
J_2976,Africa Avenue A_LHS,68.3,1.6,LABEL_CLUSTER_CENTROID,1,220.181
J_2984,Africa Avenue A_LHS,108.5,1.6,LABEL_CLUSTER_CENTROID,1,219.975
J_2999,Africa Avenue A_LHS,171.3,1.6,LABEL_CLUSTER_CENTROID,1,219.768
J_2990,Africa Avenue A_LHS,213.2,1.6,LABEL_CLUSTER_CENTROID,1,219.63
J_3005,Africa Avenue A_LHS,264.7,1.6,LABEL_CLUSTER_CENTROID,1,219.459
J_3141,Africa Avenue A_LHS,372.3,1.6,LABEL_CLUSTER_CENTROID,1,217.133
J_2969,Africa Avenue A_RHS,5.3,2.4,LABEL_CLUSTER_CENTROID,1,220.317
J_3006,Africa Avenue A_RHS,128.5,2.4,LABEL_CLUSTER_CENTROID,1,220.147
J_3016,Africa Avenue A_RHS,177.8,2.4,LABEL_CLUSTER_CENTROID,1,220.079
J_3022,Africa Avenue A_RHS,209.3,2.4,LABEL_CLUSTER_CENTROID,1,220.043
J_3028,Africa Avenue A_RHS,249.3,2.4,LABEL_CLUSTER_CENTROID,1,220.008
J_3047,Africa Avenue A_RHS,315.9,2.4,LABEL_CLUSTER_CENTROID,1,219.297
J_3070,Africa Avenue A_RHS,374.9,2.4,LABEL_CLUSTER_CENTROID,1,218.68
J_3141,Africa Avenue A_RHS,522.7,2.4,LABEL_CLUSTER_CENTROID,1,217.133
J_2955,Africa Avenue B_LHS,3.5,1.6,LABEL_CLUSTER_CENTROID,1,220.522
J_2919,Africa Avenue B_LHS,103.7,1.6,LABEL_CLUSTER_CENTROID,1,220.367
J_2915,Africa Avenue B_LHS,181.0,1.6,LABEL_CLUSTER_CENTROID,1,220.354
J_2909,Africa Avenue B_LHS,202.6,1.6,LABEL_CLUSTER_CENTROID,1,220.35
J_2900,Africa Avenue B_LHS,268.0,1.6,LABEL_CLUSTER_CENTROID,1,220.339
J_2888,Africa Avenue B_LHS,343.7,1.6,LABEL_CLUSTER_CENTROID,1,218.025
J_2879,Africa Avenue B_LHS,390.3,1.6,LABEL_CLUSTER_CENTROID,1,215.435
J_2969,Africa Avenue B_RHS,1.8,0.8,LABEL_CLUSTER_CENTROID,1,220.317
J_2948,Africa Avenue B_RHS,57.5,0.8,LABEL_CLUSTER_CENTROID,1,220.086
J_2928,Africa Avenue B_RHS,131.4,0.8,LABEL_CLUSTER_CENTROID,1,219.893
J_2917,Africa Avenue B_RHS,154.6,0.8,LABEL_CLUSTER_CENTROID,1,219.864
J_2912,Africa Avenue B_RHS,196.6,0.8,LABEL_CLUSTER_CENTROID,1,215.43
J_2631,Africa Avenue C_LHS,6.2,2.8,LABEL_CLUSTER_CENTROID,1,223.462
J_2664,Africa Avenue C_LHS,32.7,2.8,LABEL_CLUSTER_CENTROID,1,223.42
J_2697,Africa Avenue C_LHS,111.6,2.8,LABEL_CLUSTER_CENTROID,1,223.211
J_2744,Africa Avenue C_LHS,235.1,2.8,LABEL_CLUSTER_CENTROID,1,222.878
J_2784,Africa Avenue C_LHS,352.8,2.8,LABEL_CLUSTER_CENTROID,1,222.387
J_2809,Africa Avenue C_LHS,425.0,2.8,LABEL_CLUSTER_CENTROID,1,222.212
J_2848,Africa Avenue C_LHS,577.1,2.8,LABEL_CLUSTER_CENTROID,1,220.992
J_2851,Africa Avenue C_LHS,608.4,2.8,LABEL_CLUSTER_CENTROID,1,219.32
J_2879,Africa Avenue C_LHS,678.6,2.8,LABEL_CLUSTER_CENTROID,1,215.435
J_2674,Africa Avenue C_RHS,13.5,25.8,LABEL_CLUSTER_CENTROID_MERGED,2,223.972
J_2682,Africa Avenue C_RHS,13.5,25.8,LABEL_CLUSTER_CENTROID_MERGED,2,223.949
J_2719,Africa Avenue C_RHS,127.5,3.2,LABEL_CLUSTER_CENTROID,1,223.741
J_2755,Africa Avenue C_RHS,217.7,3.2,LABEL_CLUSTER_CENTROID,1,223.275
J_2768,Africa Avenue C_RHS,276.3,3.2,LABEL_CLUSTER_CENTROID,1,222.997
J_2787,Africa Avenue C_RHS,316.9,3.2,LABEL_CLUSTER_CENTROID,1,222.804
J_2833,Africa Avenue C_RHS,472.1,3.2,LABEL_CLUSTER_CENTROID,1,222.11
J_2846,Africa Avenue C_RHS,521.7,3.2,LABEL_CLUSTER_CENTROID,1,221.945
J_2862,Africa Avenue C_RHS,544.3,3.2,LABEL_CLUSTER_CENTROID,1,221.26
J_2866,Africa Avenue C_RHS,564.9,3.2,LABEL_CLUSTER_CENTROID,1,220.635
J_2868,Africa Avenue C_RHS,596.5,3.2,LABEL_CLUSTER_CENTROID,1,220.501
J_2880,Africa Avenue C_RHS,630.0,3.2,LABEL_CLUSTER_CENTROID,1,220.388
J_2898,Africa Avenue C_RHS,687.9,3.2,LABEL_CLUSTER_CENTROID,1,217.548
J_2912,Africa Avenue C_RHS,731.7,3.2,LABEL_CLUSTER_CENTROID,1,215.43
J_2621,Africa Avenue D_LHS,3.1,1.4,LABEL_CLUSTER_CENTROID,1,224.278
J_2596,Africa Avenue D_LHS,48.8,1.4,LABEL_CLUSTER_CENTROID,1,224.192
J_2577,Africa Avenue D_LHS,86.8,1.4,LABEL_CLUSTER_CENTROID,1,224.121
J_2546,Africa Avenue D_LHS,149.9,1.4,LABEL_CLUSTER_CENTROID,1,224.099
J_2520,Africa Avenue D_LHS,209.1,1.4,LABEL_CLUSTER_CENTROID,1,224.068
J_2512,Africa Avenue D_LHS,227.7,1.4,LABEL_CLUSTER_CENTROID,1,224.058
J_2488,Africa Avenue D_LHS,285.7,1.4,LABEL_CLUSTER_CENTROID,1,221.944
J_2473,Africa Avenue D_LHS,346.3,1.4,LABEL_CLUSTER_CENTROID,1,219.83
J_2674,Africa Avenue D_RHS,3.1,1.4,LABEL_CLUSTER_CENTROID,1,223.972
J_2670,Africa Avenue D_RHS,14.7,1.4,LABEL_CLUSTER_CENTROID,1,223.944
J_2657,Africa Avenue D_RHS,38.0,1.4,LABEL_CLUSTER_CENTROID,1,223.89
J_2626,Africa Avenue D_RHS,84.5,1.4,LABEL_CLUSTER_CENTROID,1,223.782
J_2593,Africa Avenue D_RHS,149.7,1.4,LABEL_CLUSTER_CENTROID,1,223.629
J_2567,Africa Avenue D_RHS,202.3,1.4,LABEL_CLUSTER_CENTROID,1,223.177
J_2528,Africa Avenue D_RHS,286.0,1.4,LABEL_CLUSTER_CENTROID,1,221.547
J_2510,Africa Avenue D_RHS,332.2,1.4,LABEL_CLUSTER_CENTROID,1,220.099
J_2503,Africa Avenue D_RHS,347.2,1.4,LABEL_CLUSTER_CENTROID,1,219.595
J_2354,Africa Avenue E_LHS,2.2,1.0,LABEL_CLUSTER_CENTROID,1,224.59
J_2383,Africa Avenue E_LHS,48.7,1.0,LABEL_CLUSTER_CENTROID,1,224.589
J_2415,Africa Avenue E_LHS,101.0,1.0,LABEL_CLUSTER_CENTROID,1,224.587
J_2437,Africa Avenue E_LHS,133.9,1.0,LABEL_CLUSTER_CENTROID,1,224.586
J_2464,Africa Avenue E_LHS,206.1,1.0,LABEL_CLUSTER_CENTROID,1,224.583
J_2473,Africa Avenue E_LHS,247.4,1.0,LABEL_CLUSTER_CENTROID,1,219.83
J_2436,Africa Avenue E_RHS,1.8,0.8,LABEL_CLUSTER_CENTROID,1,226.792
J_2487,Africa Avenue E_RHS,134.6,0.8,LABEL_CLUSTER_CENTROID,1,225.187
J_2503,Africa Avenue E_RHS,189.0,0.8,LABEL_CLUSTER_CENTROID,1,219.595
J_3061,Africa Avenue Road_LHS,32.2,32.2,LABEL_CLUSTER_CENTROID_MERGED,5,219.366
J_3059,Africa Avenue Road_LHS,32.2,32.2,LABEL_CLUSTER_CENTROID_MERGED,5,219.353
J_3066,Africa Avenue Road_LHS,32.2,32.2,LABEL_CLUSTER_CENTROID_MERGED,5,219.272
J_3068,Africa Avenue Road_LHS,32.2,32.2,LABEL_CLUSTER_CENTROID_MERGED,5,219.271
J_3071,Africa Avenue Road_LHS,32.2,32.2,LABEL_CLUSTER_CENTROID_MERGED,5,219.27
J_3087,Africa Avenue Road_LHS,206.1,4.0,LABEL_CLUSTER_CENTROID,1,219.259
J_3094,Africa Avenue Road_LHS,238.3,32.2,LABEL_CLUSTER_CENTROID_MERGED,2,219.257
J_3088,Africa Avenue Road_LHS,238.3,32.2,LABEL_CLUSTER_CENTROID_MERGED,2,219.256
J_3090,Africa Avenue Road_LHS,281.8,4.0,LABEL_CLUSTER_CENTROID,1,219.253
J_3098,Africa Avenue Road_LHS,328.5,32.2,LABEL_CLUSTER_CENTROID_MERGED,4,219.251
J_3084,Africa Avenue Road_LHS,328.5,32.2,LABEL_CLUSTER_CENTROID_MERGED,4,219.25
J_3091,Africa Avenue Road_LHS,328.5,32.2,LABEL_CLUSTER_CENTROID_MERGED,4,219.249
J_3095,Africa Avenue Road_LHS,328.5,32.2,LABEL_CLUSTER_CENTROID_MERGED,4,219.248
J_3097,Africa Avenue Road_LHS,385.7,32.2,LABEL_CLUSTER_CENTROID_MERGED,2,219.246
J_3101,Africa Avenue Road_LHS,385.7,32.2,LABEL_CLUSTER_CENTROID_MERGED,2,219.245
J_3102,Africa Avenue Road_LHS,441.2,4.0,LABEL_CLUSTER_CENTROID,1,219.241
J_3099,Africa Avenue Road_LHS,484.7,32.2,LABEL_CLUSTER_CENTROID_MERGED,5,219.239
J_3106,Africa Avenue Road_LHS,484.7,32.2,LABEL_CLUSTER_CENTROID_MERGED,5,219.237
J_3104,Africa Avenue Road_LHS,484.7,32.2,LABEL_CLUSTER_CENTROID_MERGED,5,219.236
J_3103,Africa Avenue Road_LHS,484.7,32.2,LABEL_CLUSTER_CENTROID_MERGED,5,219.235
J_3105,Africa Avenue Road_LHS,484.7,32.2,LABEL_CLUSTER_CENTROID_MERGED,5,219.235
J_3108,Africa Avenue Road_LHS,543.5,32.2,LABEL_CLUSTER_CENTROID_MERGED,2,219.235
J_3117,Africa Avenue Road_LHS,543.5,32.2,LABEL_CLUSTER_CENTROID_MERGED,2,219.234
J_3118,Africa Avenue Road_LHS,571.7,4.0,LABEL_CLUSTER_CENTROID,1,219.233
J_3121,Africa Avenue Road_LHS,708.5,32.2,LABEL_CLUSTER_CENTROID_MERGED,3,219.231
J_3100,Africa Avenue Road_LHS,708.5,32.2,LABEL_CLUSTER_CENTROID_MERGED,3,219.222
J_3092,Africa Avenue Road_LHS,708.5,32.2,LABEL_CLUSTER_CENTROID_MERGED,3,219.221
J_3085,Africa Avenue Road_LHS,750.4,4.0,LABEL_CLUSTER_CENTROID,1,219.22
J_3080,Africa Avenue Road_LHS,776.2,4.0,LABEL_CLUSTER_CENTROID,1,219.218
J_3077,Africa Avenue Road_LHS,799.5,4.0,LABEL_CLUSTER_CENTROID,1,219.216
J_3073,Africa Avenue Road_LHS,838.2,32.2,LABEL_CLUSTER_CENTROID_MERGED,2,219.214
J_3054,Africa Avenue Road_LHS,838.2,32.2,LABEL_CLUSTER_CENTROID_MERGED,2,219.212
J_3051,Africa Avenue Road_LHS,869.6,4.0,LABEL_CLUSTER_CENTROID,1,219.211
J_3044,Africa Avenue Road_LHS,916.3,32.2,LABEL_CLUSTER_CENTROID_MERGED,6,219.209
J_3040,Africa Avenue Road_LHS,916.3,32.2,LABEL_CLUSTER_CENTROID_MERGED,6,219.207
J_3038,Africa Avenue Road_LHS,916.3,32.2,LABEL_CLUSTER_CENTROID_MERGED,6,219.206
J_3036,Africa Avenue Road_LHS,916.3,32.2,LABEL_CLUSTER_CENTROID_MERGED,6,219.066
J_3033,Africa Avenue Road_LHS,916.3,32.2,LABEL_CLUSTER_CENTROID_MERGED,6,218.936
J_3048,Africa Avenue Road_LHS,916.3,32.2,LABEL_CLUSTER_CENTROID_MERGED,6,218.856
J_3041,Africa Avenue Road_LHS,996.0,4.0,LABEL_CLUSTER_CENTROID,1,218.216
J_3135,Africa Avenue Road_RHS,1.4,0.6,LABEL_CLUSTER_CENTROID,1,219.017
J_3137,Africa Avenue Road_RHS,21.1,0.6,LABEL_CLUSTER_CENTROID,1,218.545
J_3146,Africa Avenue Road_RHS,40.5,0.6,LABEL_CLUSTER_CENTROID,1,218.395
J_3153,Africa Avenue Road_RHS,72.5,0.6,LABEL_CLUSTER_CENTROID,1,218.262
J_3157,Africa Avenue Road_RHS,101.5,0.6,LABEL_CLUSTER_CENTROID,1,218.193
J_3164,Africa Avenue Road_RHS,135.1,0.6,LABEL_CLUSTER_CENTROID,1,218.113
J_3167,Africa Avenue Road_RHS,151.4,0.6,LABEL_CLUSTER_CENTROID,1,218.107
J_2856,Berral - Kushak Nala Shanti Path Join,15.9,7.2,LABEL_CLUSTER_CENTROID,1,214.408
J_3079,Berral - Kushak Nala Shanti Path Join,284.1,7.2,LABEL_CLUSTER_CENTROID,1,213.608
J_3129,Berral - Kushak Nala Shanti Path Join,330.4,7.2,LABEL_CLUSTER_CENTROID,1,213.515
